Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category",Post subtype,CTA,Reminder
2026/05/06 12:00,"A few months ago I cleared my calendar and started asking what I actually wanted my life to look like. This is some of what I found.

More soon. I'm glad you're here.",,A simpler life.MP4,,,,,,,,
2026/05/08 12:00,"What makes you happy? Not the big things. The small, specific, ordinary things that don't cost anything and no one thinks to mention.

Mine are: the sound of a kettle. Books with broken spines. Mornings before anyone else wakes up. Letters that arrive by hand.

Tell me one of yours. I'm genuinely asking.",,Wha makes you happy? Final.mp4,,,,,,,,
2026/05/13 12:00,"My wish for you today is small and very real. That something beautiful found you. That you felt, for one moment, exactly where you needed to be.

Sometimes I think that's all we're really doing — trying to be present long enough to notice the good things before they pass.

What are you wishing for someone today?",,My wish for you today final.MP4,,,,,,,,
2026/05/14 12:00,"We poured everything into it. Three years, every penny, every ounce of effort.

And it hurt deeply to let it go.

Part 2 on Saturday.",,Walnut Hill Part 1 (Facebook Video).mp4,,,,,,,,
2026/05/15 12:00,"""Forever is composed of nows."" — Emily Dickinson

A slow morning. The kettle. The stillness before the day has opinions. I used to think productive mornings were the goal. Now I think present ones are.",,Matcha mornings FINAL.mp4,,,,,,,,
2026/05/17 12:00,"She changed my life.

As a mom, being outside is how she refills. It started with a podcast — 1,000 Hours Outside — and then it was a friendship she never saw coming.

When that friend moved away, it hurt. But before she left, she introduced her to something.

An outdoor adventure school. Five hours in nature. All the parents, gathered together.

And what they found there...

Part 4 tomorrow.",,Walnut Hill Part 3 (Facebook Video).mp4,,,,,,,,
2026/05/18 12:00,"What they found there — standing in that mountain school, surrounded by parents and kids just figuring it out together — was a gap.

A gap in knowledge. A gap in confidence. A gap in community for mamas who want to get outside with their kids and have no idea where to start.

She was there not that long ago. And now she wants to help fill it. She'll share as she learns.

Welcome. She is so glad you're here.

Letters open June 8 → mossandmail.com",,Walnut Hill Part 4 FaceBook .mp4,,,,,,,,
2026/05/20 12:00,"There's something almost meditative about making a warm drink slowly. No rushing the cocoa. No shortcuts on the stirring. Just you, the pot, and a few minutes that belong entirely to you.

Slow Collagen Hot Chocolate — recipe below if you want it.

[Collagen powder, dark cocoa powder, oat milk, a little maple syrup. Heat slowly. Whisk gently. Drink it while it's warm.]",,Reverse hot cocoa w:music.mp4,,,,,,,,
2026/05/22 12:00,"""It is the small everyday deed of ordinary folks that keep the darkness at bay. Small acts of kindness and love.""
(Often attributed to Tolkien — whatever the source, I find it true.)

I keep thinking about this. The small deeds. The letters written. The meals made quietly. The phone calls returned. The ordinary acts of love that no one photographs or applauds.

Those are the things that hold everything together.",,Tolkien by the water.mp4,,,,,,,,
2026/05/25 12:00,"I've been working on something for a long time. I want to tell you about it.

It's called Moss & Mail — a monthly letter subscription club. Every month I write you a letter by hand, sealed with wax. Inside: seeds, a recipe card, original art, a tea bag, a photo from the mountains, a nature prompt, a Spotify playlist, and a postcard with a stamp already on it so you can send it to someone you love.

For people who still believe in the magic of opening a real envelope.

Early access list is open. Link in bio.",,Unboxing letter items Long video.MP4,,,,,,,,
2026/05/26 12:00,"Just a girl who wants to live in a yurt and breathe clean air 🌿 Tell me I'm not alone. mossandmail.com #slowliving #yurtlife #mountainliving #intentionalliving #simplelife #mossandmail",,I just wanna live in a yurt.MP4,,,,,,,,
2026/05/30 12:00,"This one is for every mama showing up exhausted and hanging by a thread. Cheers, mama 🍵 Send this to a mom who needs a matcha and a hug today. A handwritten letter lands in her mailbox every month. mossandmail.com #intentionalmotherhood #slowliving #slowlivingmom #slowmom #momlife #handwrittenlettersubscription #snailmailsubscription #mossandmail",,(post 1) This is for the mammas.MP4,,,,,,,,
2026/06/08 12:00,"Today is the day — Moss & Mail subscriptions are now open.

Every month I write you a letter by hand, sealed with wax. Inside: seeds, a recipe card, original art, a tea bag, a photo from the mountains, a Spotify playlist, a nature prompt, and a postcard with a stamp already on it.

And a handwritten letter from me. About what I'm reading, what I'm growing, what I'm struggling with, what I'm winning at.

One letter. Once a month. Through the actual mail.

Link in bio. Your first letter is almost ready.",,LAUNCH DAY VIDEO — FILM OR USE BEST AVAILABLE FOOTAGE,,,,,,,,
