Date,Text,Link,Media URL,Title,Label,Alt text(s),Comment(s),"Pin board, FB album, or Google category",Post subtype,CTA,Reminder
2026/05/06 07:00,"What makes you happy? Not the big things — not the vacations or the milestones. The small, specific, ordinary things.

Mine: the particular silence of early morning. A book I can't put down. The smell of something baking when I didn't start it. Matcha made slowly. Letters that arrive by hand.

Tell me one of yours in the comments. I read every one.

#slowliving #simplepleasures #intentionalliving",,Wha makes you happy? Final.mp4,,,,"Woman speaking to camera about simple everyday pleasures — slow living intentional life — Moss & Mail",,Reel,,
2026/05/08 07:00,"""Forever is composed of nows.""
— Emily Dickinson

This is a now. The kettle. The stillness. The first quiet hour before the day has opinions.

I don't optimize my mornings. I just try to be inside them.

#slowmorning #matchamorning #slowliving",,Matcha mornings FINAL.mp4,,,,"Slow matcha morning ritual kettle and cup in quiet mountain home — slow morning matcha routine — Moss & Mail",,Reel,,
2026/05/10 09:00,"Sunday is the one day I let the world get quiet on purpose.

Soul in nature. No agenda. No catching up. Just this — the light, the landscape, the particular kind of reset that only happens when you stop moving long enough to let the earth do something to you.

Whatever your week looked like, you made it here. Rest now.

#sundayreset #slowsunday #soulsunday #naturereset #slowliving",,Sunday reset final.mov,,,,"Woman walking in Utah mountains on Sunday nature reset — slow living Sunday reset nature — Moss & Mail",,Reel,,
2026/05/11 07:00,"My wish for you today is small and very real.

That you felt seen somewhere. That something beautiful found you — not because you went looking, but because you were paying attention. That you were, for one moment, exactly where you needed to be.

I used to rush past all of it. Now I'm trying to stay inside it long enough to actually feel it.

What are you wishing for someone today?

#slowliving #youarenotalone #gentlereminder",,My wish for you today final.MP4,,,,"Woman speaking warmly to camera with gentle message of being seen — slow living you are not alone — Moss & Mail",,Reel,,
2026/05/13 07:00,"The world IS kind of a lot right now, isn't it?

When it gets heavy, I make something small and cold and green and I stand in my kitchen and I breathe. It doesn't fix anything. But it's a moment that's mine.

Iced Rose Matcha Collagen Latte — I'll share the full recipe below.

Rose syrup. Collagen powder. Matcha whisked the slow way. Oat milk. Ice. Grace.

#matcharecipe #slowliving #icedmatcha",,Iced matcha cuz the world Is crazy! With music.MP4,,,,"Iced rose matcha collagen latte being made in kitchen with music — matcha recipe slow living — Moss & Mail",,Reel,,
2026/05/15 07:00,"I've been making recipe cards by hand. This first one — Iced Rose Matcha Collagen Latte — took several tries to get right. I wanted it to look like something worth keeping. Something you'd slip inside a cookbook or pin above a desk.

It's for something I'm building. Something that involves handwriting and envelopes and things arriving in your mailbox.

I'll tell you more about it soon. But for now — here's the card.

#handmade #recipecard #snailmail",,First recipe card.MOV,,,,"Handmade recipe card for iced rose matcha latte written on linen paper — handmade recipe card snail mail — Moss & Mail",,Reel,,
2026/05/18 07:00,"Starting at the end, because the beginning is more interesting when you already know where you're going.

Slow hot chocolate. The kind you make on purpose, not out of convenience. Collagen, dark cocoa, oat milk, something warm and quiet.

I make this when I want to feel like I'm taking care of myself. Which is often.

#slowliving #hotchocolaterecipe #slowcocoa",,Reverse hot cocoa w:music.mp4,,,,"Slow collagen hot chocolate being made in reverse in cozy kitchen — slow recipe collagen hot chocolate — Moss & Mail",,Reel,,
2026/05/19 07:00,"This is what Tuesday morning looks like.

The skillet. The smell of something warm. A small person waiting in a highchair who has opinions about breakfast and no patience for slow living whatsoever.

I'm learning from her, honestly. She knows exactly what she wants and she's not quiet about it.

This is the life I cleared my calendar for. The ordinary mornings. The ones I used to rush through.

#slowmorning #momlife #slowliving #simplebreakfast #morningroutine",,Breakfast Time.mp4,,,,"Mother cooking breakfast in slow morning kitchen with baby in highchair — slow morning mom life simple breakfast — Moss & Mail",,Reel,,
2026/05/20 07:00,"By the water, where everything gets quieter and truer.

""It is the small everyday deed of ordinary folks that keep the darkness at bay. Small acts of kindness and love.""
(Often attributed to Tolkien — whatever the source, I believe it.)

I keep coming back to this. In a world that rewards grand gestures and visible success, I keep thinking about the small deeds. The letters written. The meals made. The hands held. The ordinary acts of love that no one photographs.

What small deed did you do today?

#slowliving #kindness #youarenotalone",,Tolkien by the water.mp4,,,,"Woman standing by water in Utah nature with quote about small acts of kindness — slow living kindness intentional life — Moss & Mail",,Reel,,
2026/05/22 07:00,"Some things shouldn't be made quickly.

Slow Collagen Hot Chocolate — the recipe that takes a few extra minutes and is worth every one of them. Collagen for your joints. Cocoa for your soul. Oat milk because it froths beautifully.

A version of this recipe card is going inside something I'm sending out into the world very soon. I've been working on it for a while. I think you're going to love it.

#slowliving #hotchocolate #somethingiscoming",,Slow Collagen Hot Chocolate final.MP4,,,,"Slow collagen hot chocolate recipe card reveal with oat milk and cocoa — slow recipe collagen hot chocolate — Moss & Mail",,Reel,,
2026/05/23 07:00,"Slow living with kids — when I realized how often we were reaching for a screen to answer a question we could have answered with a book. We had dictionaries. We had these kinds of books. We can do it again.

What reference book do you reach for most?

#slowliving #intentionalmotherhood #charlottemason #analoglife #homeschool #livingbooks",,clips/book-review/clip3-screen-realization-vertical.mp4,,,"Woman realizing she was reaching for screens instead of books with her children — Charlotte Mason slow living homeschool — Moss & Mail",,Reel,,
